,field,foul,fop,home_plate
29,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
30,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
31,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
32,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
33,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
34,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
35,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
36,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
37,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
38,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
39,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
40,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
41,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
42,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
43,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
44,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
45,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
46,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
47,Saginaw Swan Valley High School,"
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							","
								-84.0822261,43.4116302,0 -84.0810956,43.4117919,0 -84.08112370000001,43.4119332,0 -84.0811439,43.4120404,0 -84.08115859999999,43.4121144,0 -84.08118949999999,43.4122099,0 -84.0812458,43.4122634,0 -84.0813102,43.4123131,0 -84.08138529999999,43.4123745,0 -84.08144160000001,43.4124018,0 -84.08151530000001,43.4124437,0 -84.0815676,43.4124719,0 -84.08160650000001,43.4124953,0 -84.0816494,43.412509,0 -84.08171110000001,43.4125275,0 -84.0817608,43.4125382,0 -84.08181039999999,43.4125479,0 -84.08186000000001,43.4125557,0 -84.08190690000001,43.4125616,0 -84.0824327,43.4124408,0 -84.0822261,43.4116302,0 
							",
